,Open,High,Low,Close,Adj Close,Volume
2024-06-20 21:00:00+00:00,3523.72119140625,3527.1796875,3514.595703125,3514.62158203125,3514.62158203125,0
2024-06-20 22:00:00+00:00,3514.623291015625,3519.382568359375,3513.022216796875,3514.6142578125,3514.6142578125,0
2024-06-20 23:00:00+00:00,3516.165771484375,3519.122802734375,3510.3017578125,3511.58154296875,3511.58154296875,27399168
2024-06-21 00:00:00+00:00,3511.268310546875,3514.9443359375,3493.011962890625,3499.109375,3499.109375,48001024
2024-06-21 01:00:00+00:00,3497.395263671875,3524.52734375,3496.016845703125,3523.60791015625,3523.60791015625,0
2024-06-21 02:00:00+00:00,3524.611572265625,3532.5654296875,3505.685302734375,3506.689453125,3506.689453125,0
2024-06-21 03:00:00+00:00,3506.644287109375,3508.9453125,3498.298095703125,3499.279296875,3499.279296875,51547136
2024-06-21 04:00:00+00:00,3499.293701171875,3514.059814453125,3493.48681640625,3513.74560546875,3513.74560546875,45734912
2024-06-21 05:00:00+00:00,3514.761474609375,3518.172119140625,3503.550048828125,3516.76806640625,3516.76806640625,0
2024-06-21 06:00:00+00:00,3516.745849609375,3518.05859375,3504.334228515625,3508.698486328125,3508.698486328125,0
2024-06-21 07:00:00+00:00,3509.47119140625,3516.18505859375,3469.6396484375,3470.218505859375,3470.218505859375,0
2024-06-21 08:00:00+00:00,3473.087158203125,3486.200439453125,3447.935546875,3459.485595703125,3459.485595703125,221845504
2024-06-21 09:00:00+00:00,3457.351318359375,3521.901123046875,3455.17041015625,3514.483642578125,3514.483642578125,785929216
2024-06-21 10:00:00+00:00,3511.14111328125,3516.17822265625,3490.251708984375,3493.757568359375,3493.757568359375,131802112
2024-06-21 11:00:00+00:00,3494.498046875,3506.187744140625,3492.018798828125,3502.5947265625,3502.5947265625,0
2024-06-21 12:00:00+00:00,3502.039794921875,3506.59521484375,3478.2119140625,3493.14306640625,3493.14306640625,0
2024-06-21 13:00:00+00:00,3493.41650390625,3494.087890625,3459.78125,3470.79150390625,3470.79150390625,0
